,,,,,,,,,,,,,,,,,,,
January,https://www.youtube.com/watch?v=NS8dHinEsUM,,,February,https://www.youtube.com/watch?v=OqDcVOeb1OA,,,March,Skipped Month,,,April,https://www.youtube.com/watch?v=JR383RV-7F8,,,,,,
"Theme: All Time Low. Keywords: Cluttered, Free",,,,"Theme: Top of the World. Keywords: lamentable, neighborly",,,,Theme: Keywords:,,,,"Theme: Fool's Gold. Keywords: Metamorphic, Insane",,,,,,,
Optional Challenge: Use only samples gathered from household items/appliances (no instruments) to create a track. Stay light on modifying said samples!,,,,"Optional Challenge: Finish your oldest unfinished work. By oldest, I mean start digging..",,,,Optional Challenge:,,,,"Optional Challenge: Use one note for the entire song, or use only rhythm/percussion.",,,,,,,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,,,,
Agent VX,Metal Machine,,,Max Mattingly,Nighttime Noodles,,,,,,,Adam Johan Bergren,Psyclone Psea Psnakes,https://adamjohanbergren.bandcamp.com/track/psyclone-psea-psnakes,,,,,
Aplut,Lightly,https://youtu.be/Nq5q-gB9Dfc,,Agent VX feat. Ken,Chilled Scotch,,,,,,,Zero Apr,Time Decay,https://soundcloud.com/charles-ginsberg/time-decay,,,,,
DRMR,Simplified Occurrence,,,Edwin,Evening Encounter,,,,,,,Aplut,Existence,https://youtu.be/UjlUq5DNmms,,,,,
Equals Equals,Dat house is drumming,,,Equals Equals,Just for the Memories,,,,,,,Wonky Robot,Metamorph,https://soundcloud.com/malte-hansen-985974512/wonky-robot-metamorph-sim-selections-april-2022,,,,,
fulhjort,"i, too, like a good rant",,,fulhjort,Once maybe twice,https://soundcloud.com/hjorten/once-maybe-twice,,,,,,Jungle Pickle,Fool's Gold,https://soundcloud.com/jungle-pickle/fools-gold,,,,,
informationcake,Once,https://informationcake.bandcamp.com/track/once-2,,Pulse-Static,Guitar Remix,,,,,,,Undercover Brother,Veil,,,,,,
jungle pickle,9 Circles,https://soundcloud.com/jungle-pickle/9-circles?si=52aec875168e43b6adbad3723411e66f&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,informationcake,Inwards Upwards,,,,,,,Kitsune Machines,Divergence,,,,,,
Kevin Thorsen,Get Enough,,,Thomas and the Evil Computer,Lost and Found,,,,,,,Tranendal,Op Zoek Naar Het Klatergoud,,,,,,
Lauren,some chromophone taps,,,Mark Feifarek,Lost at Seaside,https://drive.google.com/file/d/1klCPItRYKY2YvdmRfEDADzmewpx4s_XI/view?usp=sharing,,,,,,Dream Static,Charged Particles,,,,,,
