,,,,,,,,,,,,,,
January,Weeklystream103: SimSelections January (and community Rocket League!),,,February,"Weeklystream108: SimSelections Scoring Challenge (over $5,000 in giveaways!)",,,March,Weeklystream 112: Sim Selections Listening Party! 🎈,,,April,SimSelections Monthly Challenge | Listening Party,
"Theme: Throwback Keywords: united, jazzy",,,,Theme: Keywords: ,,,,"Theme: Dice. Keywords: thirsty, five.",,,,"Theme: The Last Stand. Keywords: hollow, towering",,
Optional Challenge: Create a theme tune for your favorite product (or thing) from the 1980s.,,,,Optional Challenge: Score a film scene.,,,,Optional Challenge: Write the hidden bonus track for your favorite album. Dig deep and really think about what 'favorite' means to you.,,,,Optional Challenge: ,,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link
First Sun,Gears and Pulleys,,,Seth Monyette,Grounded,,,Amess,Thirsty Five Dice and a Pocket Full of Mice,,,aMess,I Spilled Ponzu Sauce On My Nokia,
Blush Akimbo,Blast,,,Joel,Love Letter,,,Vogel,Bonus-Track,,,Jungle Pickle,Big Man,https://soundcloud.com/jungle-pickle/big-man?si=6aa7e5a687ed4ccca8bdc57499687609&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Wonky Robot,Countach,,,Tom Morton,The Revelation,,,Seth Monyette,D1CE3,,,Fractalint,Blue Sky,https://soundcloud.com/fractalint/blue-sky
Protocol,Daemonset,,,Stu M,Casing Duet,https://soundcloud.com/stumcgregor/stu-m-casing-duet?si=ba805f32702c4995b37226c8368ec361&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Default Media Transmitter,Northwest Passage,https://soundcloud.com/defaultmediatransmitter/northwest-passage,,Default Media Transmitter,End Of Signal,https://soundcloud.com/defaultmediatransmitter/end-of-signal
Kiwillian,Don,,,Axel Ramirez,Self-Reflection,,,Takamoon,Dig Deeper,Dig Deeper | Takamoon (bandcamp.com),,DRMR,Trilling,https://soundcloud.com/d-r-m-r/trilling
Ponyart,Don't Cross The Streams,,,Thomas And The Evil Computer,Imminent Trousers,,,Pulse Static,Drugkz.Ver395[ax^2+bx+c=0 mix],,,Broken Gravity,Echoes Of Home,https://www.youtube.com/watch?v=wvR0rk8Lmz0
Zero Lucks Given,Entering The Terrordrome,https://zerolucksgiven.bandcamp.com/track/entering-the-terrordrome,,Kiwillian,Quiet Earth,,,err:rawr,Video Today,,,Err: Rawr,Hollow,https://soundcloud.com/err_rawr/hollow?si=e29c6c6adb634ec5a56c65dd9011a4b9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Default Media Transmitter,Flash Boards,https://soundcloud.com/defaultmediatransmitter/flash-boards,,Fileareport,ObviousOblivious,,,Menhirs,Fall Where They May,,,Aplut,Fabulist,https://soundcloud.com/aplutofficial/fabulist
Hojascirculares,Frame Control,,,Mark Feifarek,Silence Of The Forest,,,Blipfactory,Fast Approach,,,Fjaru,Defunct,https://soundcloud.com/fjaru/defunct
Fulhjort,Aliens,,,Peman Audio,Non Existing Soundtrack,,,Josef HF K(ErikJMS),Thousand Year Drought,,,Fulhjort,We're Almost Out Of Oranges,https://soundcloud.com/hjorten/were-almost-out-of-oranges
ZeroAPR,In Machine I Trust,,,Zero Lucks Given,None Shall Pass,https://www.youtube.com/watch?v=dRwadkEWpLE,,Broken Gravity,Free At Last,,,Kiwillian,Last Stand,
,,,,DRMR,The Last Vampire Hunter,https://www.youtube.com/watch?v=ciIEwJU_0h0,,Fulhjort,Don't Daaaaaance To This,,,Seth Monyette,Need,
Edwin,Loopalogue Epilogue,,,Ponyart,Selling Your Product,,,Jungle Pickle,Get Me Another,https://soundcloud.com/jungle-pickle/get-me-another?si=97b2bc06fe9643bfaa7ac7cd76482b27&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Adam Johan Bergren,No Quarters,https://adamjohanbergren.bandcamp.com/track/no-quarters
Computrhead,Master System,,,Fractalint,Arrival,,,Mia Moon,In The Tunnels,,,Zero Lucks Given,Olde Roland To The Dark Tower Returned,https://zerolucksgiven.bandcamp.com/track/olde-roland-to-the-dark-tower-returned
