CHECK THE TABS AT THE BOTTOM FOR DATA FROM PREVIOUS YEARS,,,,,,,,,,,,,,
January,SimSelections: Listening & Baby Chick Viewing Party - YouTube,,,February,Multi-Dimensional Listening Party - YouTube,,,March,SimSelections - Minecraft Edition - YouTube,,,April,213: Listening Party ft. Minecraft,
"Theme: Hopeful Future. Keywords: Real, Synthetic.",,,,"Theme:  Multi-dimensional Keywords: ooo, ahh",,,,"Theme:  The Journey of the Soul. Keywords: Lore, Transcendence",,,,"Theme: Frozen Trajectory. Keywords: Stasis, Innovate",,
"Optional Challenge: New year, new music! Try a new musical technique/style/genre you haven't tried before.",,,,Optional Challenge: Create a wide and deep 3D soundstage and enhance physical movement.,,,,"Optional Challenge: Dive into the world of musical modes (Dorian, Phrygian, Lydian, etc.)",,,,"Optional Challenge: Benn has provided stems to an unreleased Flashbulb track! Use them in any way you like (obvs don't sell them). It can be a remix, remake, something entirely different, don't use them, whatever! https://drive.google.com/file/d/1TTJ-XlwyQgud9rHUrfFbj8xcNk7vo-pC/view?usp=sharing",,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link
Broken Gravity,"Sorry, not sorry",,,NASCEN7,Words Not Spoken,,,"Astar, a Robot",Transit,,,PonyArt,Too many ideas WIP,
wisteria / ok seashells,OVER U,,,xaqmusic,Timeless,,,dedblank,Rising Clutches (Bronchitis Mix),,,Cathartic Reunion,Frozen Trajectory (Cathartic Reunion Remix),https://catharticreunion.bandcamp.com/track/the-flashbulb-frozen-trajectory-remix
Adam Johan Bergren,Penultimate,https://adamjohanbergren.bandcamp.com/track/penultimate,,dedblank,Noise,,,Softcore Toucan,To Accept Dystopia,,,Softcore Toucan,The Next Revolution's Tremors,
jacketpocket,Uncertain Dub,,,jacketpocket,Numbers,,,Perlin,Windmill Savannah,,,Adam Johan Bergren ; The Flashbulb,Frozen Trajectory (AJB Remix),https://adamjohanbergren.bandcamp.com/track/frozen-trajectory-ajb-remix
ErgoNogo,Rustbreaker,,,jungle pickle,man in the garden,https://soundcloud.com/jungle-pickle/man-in-the-garden?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=0dab613def69446a8a515296a8bbefcf,,michaelol179,Shinkansen,,,Skitter,Frozen Trajectory (Skitter Flip),https://soundcloud.com/skittermusic/frozen-trajectory-skitter-flip
Poetry in Noise,Acid Walk With Me,,,Adam Johan Bergren,Octachoron,https://adamjohanbergren.bandcamp.com/track/octachoron,,Poetry in Noise,Manny's Dance,,,Lonnon Foster,Frozen Trajectory (Lonnon Foster Remix),
Robert Redshaw,And Then,,,Robert Redshaw,Down Deep,,,Antimancer,spiritual_successor7,,,Long Century of The Surreal,Quarries (Frozen Trajectory Interpolation),
Derek Shunia,The Shattered Planet - Prometheus,,,Jordan,Blueshift,,,Cathartic Reunion,Resigned,https://catharticreunion.bandcamp.com/track/resigned,,Fjaru,Adversarial noise,
Poetry in Noise,PsyWork,,,Takamoon,Impasto,Impasto | Takamoon,,Procrastronaut,"Look, Ryan",,,Intent Unknown,A Hymn Sung By Ice,
frildoh,future passed,,,KrovvyTheRed,Winter Eludes Me,,,Fine Structure Constant,Dust To Dust,https://finestructureconstant.bandcamp.com/track/dust-to-dust,,Poetry in Noise,Eats Swan Oat,
Takamoon,Downloaded Baked Potato,Downloaded Baked Potato | Takamoon,,Edwin,Golden Age,https://www.youtube.com/watch?v=4GR2szFiloI,,Skitter,BEEK,https://soundcloud.com/skittermusic/beek,,Fine Structure Constant,Stasis,https://finestructureconstant.bandcamp.com/track/stasis
KwaK,Pretending it Matters,,,informationcake,My Dream Fragments,,,Adam Johan Bergren,Multimodality,https://adamjohanbergren.bandcamp.com/track/multimodality,,KwaK,Enure,
informationcake,Hopeless Future,,,GoErikGo,Last Can of Beans,,,Drum Node,Blok feat. Mad Hed City,,,Perlin,Frozen Trajectory - Perlin Remix,
Edwin,Garden of Hope and Stuff,https://www.youtube.com/watch?v=iCObgxXh8hg,,Derek Erdmann,Decompression,,,Jordan,Am,,,stupidPilled,Frozen Something Or Other,
Stu M,Pressures,,,Shaolin Rib,MdnsJm,,,Christopher Sisk,It All Happened So Fast,,,vetra miga,elara,
PonyArt,Old vs New,,,Lemon Berries,Holograham Crackers,,,AmbientSpace,Plaits Space v2 - The Journey Continues,,,IKAN,Frozen Trajectory (In Crushed Stasis Mix),
dedblank,F U N with drones,,,vetra miga,vm-trvlr.xm,https://youtu.be/d3_tR9gM1JE,,frildoh,Lore(n),,,fulhjort vs The Flashbulb,Trazen Frojectory,
michaelol179,Swim Season,,,Lonnon Foster,Under Green Skies,,,jacketpocket,Don't Worry So Much,,,The Elk Lodge,Cryotonic,
Derek Erdmann,TODO Lyrics,,,KwaK,Talking to the Entity from [REDACTED],,,Long Century of The Surreal,En Prison,,,Antimancer; The Flashbulb,Frozen Trajectory (The Flashbulb) - Antimancer Remix,
Perlin,Mariana Sauce,,,AmbientSpace,Plaits Space,,,kruvek,Scapeshift_003,,,fractal4053,joy refrozen tract,
fulhjort,A headless time,,,Skitter,Square Improv,,,Edwin,Over Glow Transit,https://www.youtube.com/watch?v=vxvwMaGtwZY,,kruvek,Fractured Apogee,
Antimancer,YeeHaw_Surprise,,,Stu M,Entrance Stone,,,jungle pickle,jenny of the soul,,,Benn Jordan,Frozen Trajectory - (JORDAN'S MEGASLEEPY MIX),
jungle pickle,a new day,https://soundcloud.com/jungle-pickle/a-new-day?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=f808809e623143d49b0c3034402eab2a,,Antimancer,George_T,,,Stu M,Earthshine,,,"Astar, a Robot","Frozen Trajectory (Astar, a Robot Remix)",
AmbientSpace,Improvisation for Blippoo Box and French Horn,,,Teapotahedron,Solar Zephyr,,,err: Rawr,Hey,,,The Flashbulb;Broken Gravity,Frozen Trajectory - Gravity Mix,
Lemon Berries,Rubik's Protocol,,,Poetry in Noise,The Title is Elsewhere,,,Teapotahedron,Empty Vessel Travels Faster,,,MISLS,Rewind Time,
err: Rawr,Pe Es eX,,,Procrastronaut,Spaces,,,KwaK,We Do Recover,,,jungle pickle,6 years,
"Astar, a Robot",Cepheid Variable,,,NASCEN7,Memorae Aeternum I,,,Donoru,Fracture,,,informationcake & The Flashbulb,Frozen Trajectory,
