CHECK THE TABS AT THE BOTTOM FOR DATA FROM PREVIOUS YEARS,,,,,,,,,,,,,,,,,
January,Sim Selections Listening Event [Jan2026] - YouTube,,,February,252: Acid Party!,,,March,256: Your Fractal Music,,,April,261: Binary Music [SimSelections Listening Party],,,April half song matching!,
"Theme:  Meditation. Keywords: Bleep, Bloop",,,,"Theme: Acid Keywords: 303, Analog",,,,"Theme: Fractal. Keywords: Galaxy, Quark",,,,"Theme: Binary  Keywords: Merging, Unseen.",,,,"Either put a link to stems, or say to DM you if want to keep a surprise","Multiple can finish, just say taken if you want to keep secret until the stream"
"Optional Challenge: It's a new year, take a deep breath, relax, take yourself to a peaceful place. Channel blissful ambience through bleeps, bloops, pads, drones, minimalist instruments, and dreamy soothing soundscapes.",,,,"Optional Challenge: Write a track that sits somewhere on the Ph scale, or transitions through it.",,,,"Optional Challenge: Your ship is in orbit around a black hole. The Fractal Warp Drive has run out of fuel. Within minutes, you will be drawn into the Event Horizon, which will cause time to stop for you. Only a song with fractal structure can power you out in time! Create a track with repeating/recursive patterns at every level, from melodies to harmonies to amplitudes to lyrics to tempos and rhythms. This will propel your ship to safety, if you can beat the clock before it stops! Feed your ship some Fractal Fuel! Good luck!",,,,"Optional Challenge: Step 1, write ""half"" a track. Step 2, send it to a fellow Simulant (that's one of us) to finish. Step 3, take someone else's ""half"" track and finish it in any way you like. The idea is that there's no back and forth, just hand the stems over at some arbitrary point in the composition process.",,,,Starting Artist,Finishing Artist
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,"Christopher Sisk - It Was There, Then It Wasn't (101 bpm, 3/4 time)","AmbientSpace, edwin,"
DarkSwordsman,Seeking Serenity,,,APBT (Charles Randall),3nB,,,The Planting Noise,Seven,,,saw whet / vetra miga,breathe you in,,,euskalduna - untitled 16-bar bass part,"edwin, Saw Whet"
informationcake,Leaf,,,jungle pickle,highs and lows,,,frildoh,alcubierre drive,,,"Chooko, euskalduna",untitled WIP,,,bjen inquiry 160 bpm 3/4,"Skitter, "
Domilo,A few bleeps and a couple bloops,,,Shaolin Rib,Fun With Acid,,,euskalduna,causality,,,Robert Redshaw,Digital Shadow,,,moiko - The Merging of Zero and One,"Perlin,"
jungle pickle,meditation,,,Saw Whet,Fortune,,,Camino del Dragon (YL),Redshift est un mot facilie,,,saw whet ; jungle pickle,shake the ground,,,Perlin - April SimSel WIP,"Christopher Sisk x2, "
NASCEN7,Ocean Of Red Sand,,,Acidwolf,PCBA,,,Adam Johan Bergren,Edges of History,https://adamjohanbergren.bandcamp.com/track/edges-of-history,,the_f3l1x;ArcticOne,"HorseRocket, RTT",,,Skitter - Nights in Your Arms (126bpm),"Bjen, Infra,"
Teapotahedron,Nothing,,,Chooko,Harbor,,,AmbientSpace,Existential Lemonade,,,Dig Fig; Saw Whet,Engulfed,,,frildoh - April Simsel 113.5 bpm,"Skitter, Infra,dedblank "
frildoh,The Flower Shrine Opens,,,edwin,raze the ph,,,Takamoon,Chromatic Aberration,,,tabs;KwaK,Don't Lose,,,Deeds april simsel 93 bpm,"edwin (tiny mashup w/ dedblank's half),"
Poetry in Noise,BellDrone,,,Lahlah,Reflux,https://soundcloud.com/lewpsi/reflux?si=65001b1f73a945c8a13c14f605d2728d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,PonyArt,MDMA but no Acid = No fractals,,,"Bjen, Skitter",Binary Inquiry,,,"The Infra -Drunken Master? (87 bpm, F Iwato.. maby?)","frildoh, Deeds"
Christopher Sisk,Caught In Zazen,https://music.christophersisk.com/simsel,,dedblank,Váhat,,,Donoru,Transient Motive,,,NASCEN7 x Bonfire,Phantom Limb (Sunset Afternoon),,,Saw Whet - Earthquakes (vocal) 80bpm Bmin,"AmbientSpace, Jungle Pickle, AJBergren, vetra miga"
Pantagruel,Everlasting,,,Stu M,ausazkoa,,,dedblank,Ovr,,,PONYART & STU M,REDSHIFT,,,dedblank-IORain-148bpm-Eminor,"edwin (tiny mashup w/ deeds' half),"
Panoramic Dream,Main Sequence Meditator,,,poldu,Caustic Ooze,,,Oobesan,Dance Yer Little Fractals Off,,,Saw Whet x AmbientSpace,Earthquakes,,,sim april stemz stu_m,Fine Structure Constant. Bit.R.Ist
Robert Redshaw,Meditat,,,zuggamasta,Intervasion of the Eurorack,https://zuggamasta.de/music/sim-sel/2/,,Doggo Shark (Fallacy Dice),Bread is better buttered,,,"Stu_m, Bit.R.Ist",iDiOM,,,5XVT 160bpm CMIN,Doggo Shark has arrived
Shaolin Rib,Angles Mort,,,Bottle Brush,Acid Sim,,,jungle pickle,on the edge,,,"Frildoh, Skitter",Multivariate,https://soundcloud.com/skittermusic/multivariate?si=a0e2fadf30e7425990d27990c6bd752d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,
Oobesan,Is This Ambient_,,,tabs,this conversation is going nowhere,https://soundcloud.com/user-783179659/26-02-sim-selections-this,,bit.r.ist,Black Hole Casualty,,,"Skitter, The Infra",nights in your arms,https://soundcloud.com/thesimfra/nights-in-your-arms,,,
kruvek,Moonlite,,,Panoramic Dream,Subterranean Acid Lab,,,tabs,Cryoslept into a Frozen Star,https://soundcloud.com/user-783179659/26-03-sim-selections-cryoslept,,Saw Whet - Adam Johan Bergren,Limerence,,,,
moiko,Uncanny,,,Reark,Acid Dub Melodrama,,,KwaK,Event Horizon,,,Perlin / Christopher Sisk,WIP-411_Yin,https://music.christophersisk.com/simsel,,,
Broken Gravity,Signal Rain,,,KwaK,Someday,,,Spirit Unknown,Sine Party,https://soundcloud.com/spirit_unknown/sine-party?si=99bfe962c5504ac2b17aa86d64ab84a6&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,bottlebrush / vetra miga,creature (ft. jungle pickle),,,,
tabs,Getting Here,https://soundcloud.com/user-783179659/26-01-sim-selections-getting?si=e0624068fa0444ce8d08347b490c710c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Takamoon,Darling Come Here Actually Don't,Darling Come Here Actually Don't | Takamoon,,Skitter,Convalescence,https://soundcloud.com/skittermusic/convalescence?si=96de784b9db84fd4b3e5687aaa10866b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,AmbientSpace x Saw Whet,Earthquakes,,,,
KwaK,Spiraling Thoughts,,,Bjen,Hydrolysis,https://bjen.bandcamp.com/album/catalyst,,shereen,auxiliary engine startup sequence,,,The F3l1x & ArticOne,Acid in the resonant chamber,,,,
Bjen,Janus Descendentis,https://www.youtube.com/watch?v=WD-UUCPSiI0,,Peregrine (Cschweppe),Locked Out,,,edwin,time crunch ship escape question mark,,,"frildoh, dedblank",Unseen-Ordinary,,,,
5XVT,Float Tank,https://www.youtube.com/watch?v=WBgbk5bVXFg,,Zero Lucks Given,Acids and Bases,https://zerolucksgiven.bandcamp.com/track/acids-and-bases,,informationcake,Reality Engine,,,The Infra; frildoh,Drunken Master,,,,
Peregrine (Cschweppe),Air,,,PonyArt,LSD (ACID),,,Elossa,Funny little Bitwig patch I made,,,stupidPilled;KwaK,halfPilled,,,,
dedblank,smothered guilt,,,informationcake,Caution,,,Cahl,Gravity's Diktat,,,vetra miga; PonyArt,Just F***ing Myself,,,,
kruvek,Vibe Downtempo,,,fulhjort,Zee drangrers ov AC kid,,,Fine Structure Constant,Zero Hour,,,Perlin / Christopher Sisk,WIP-411_Yang,https://music.christophersisk.com/simsel,,,
